,Player,Team,Position,Status,GP,G,A,KP,AF,SOT,Tk,DIS,FS,YC,SYC,RC,AC,Int,CLR,AER,OG,GAD,CSD,CSM
232,"Clark, Ciaran",15,D,FA,11,3,0,2,0,3,20,2,6,1,0,0,0,12,57,43,0,15,2,0
233,"Mata, Juan",14,M,FA,20,2,2,23,2,5,9,16,7,3,0,0,10,4,5,2,0,0,0,1
234,Andre Gomes,8,M,FA,26,1,1,6,1,5,39,50,26,7,0,0,3,20,17,38,0,0,0,8
235,"Tosun, Cenk",8,F,OWNED,23,2,3,9,0,14,12,19,14,3,0,0,1,4,2,33,0,0,0,0
236,"Stanislas, Junior",1,M,FA,22,2,3,15,0,10,12,10,10,1,0,0,8,2,13,10,0,3,0,2
237,"Austin, Charlie",16,F,FA,23,2,2,9,0,9,12,13,18,1,0,0,0,2,13,42,0,0,0,0
238,"Janmaat, Daryl",18,D,FA,17,0,1,12,0,1,35,11,1,3,0,0,14,31,59,18,0,21,3,0
239,"Le Marchand, Maxime",9,D,FA,22,0,1,9,0,0,52,5,6,4,0,0,4,47,113,50,0,48,1,0
240,"Bellerin, Hector",2,D,FA,19,0,5,8,0,4,15,16,6,3,0,0,9,20,34,21,1,14,3,1
241,"Traore, Adama",20,F,FA,26,1,1,16,0,7,15,44,25,1,0,0,15,6,6,19,0,0,0,1
242,"Cresswell, Aaron",19,D,FA,20,0,1,17,0,0,29,6,12,1,0,0,16,23,42,25,0,26,1,0
243,"Ayew, Jordan",7,F,FA,18,1,2,13,0,3,34,29,20,3,0,0,0,7,5,30,0,0,0,0
244,"Tielemans, Youri",11,M,OWNED,9,2,3,13,1,8,12,13,12,2,0,0,2,2,7,8,0,0,0,1
245,"Durm, Erik",10,D,FA,25,0,1,10,0,0,30,14,22,0,0,0,11,36,30,22,0,29,2,1
246,"Morata, Alvaro",6,F,OWNED,16,5,0,7,0,16,8,22,16,3,0,0,0,0,6,18,0,0,0,0
247,"Saiss, Romain",20,M,FA,19,2,0,4,0,5,39,2,8,7,0,0,2,26,58,60,0,11,1,1
248,"Jones, Phil",14,D,FA,15,0,1,3,0,2,14,2,8,0,0,0,0,20,52,39,0,13,3,0
249,"Lejeune, Florian",15,D,FA,12,0,0,6,0,2,25,0,5,0,0,0,1,21,44,31,0,13,3,0
250,"Locadia, Jurgen",3,F,FA,24,2,0,12,0,10,15,12,9,1,0,0,4,9,7,22,0,0,0,1
251,"Cavaleiro, Ivan",20,F,FA,21,3,1,19,0,4,5,19,4,1,0,0,17,4,4,9,0,0,0,0
252,"Mendy, Nampalys",11,M,FA,29,0,0,5,1,0,32,15,36,5,0,0,2,26,23,8,0,0,0,7
253,"Zinchenko, Oleksandr",13,M,FA,9,0,3,8,0,1,19,3,1,0,0,0,3,11,9,15,0,3,5,0
254,Federico Fernandez,15,D,FA,16,0,1,4,1,1,15,4,7,2,0,0,2,25,96,37,0,23,3,0
255,Diogo Dalot,14,D,OWNED,13,0,2,15,0,0,18,3,2,3,0,0,12,8,25,20,0,4,1,0
256,"Yoshida, Maya",16,D,FA,15,0,1,5,0,2,13,0,7,0,0,0,0,38,89,29,0,25,3,0
257,"Atsu, Christian",15,M,FA,24,0,0,15,0,12,21,26,20,2,0,0,8,7,12,8,0,0,0,3
258,Danilo,13,D,FA,9,1,0,4,0,3,20,5,8,1,0,0,2,15,20,18,0,7,4,0
259,Ki Sung-yueng,15,M,FA,15,0,1,15,0,1,13,8,14,2,0,0,13,19,18,12,0,0,0,3
