"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A","KP","AF","SOT","Tk","DIS","FS","YC","SYC","RC","AC","Int","CLR","AER","OG","GAD","CSD","CSM"
"Lerma, Jefferson","BOUR","M","149","FA","FUL Sat 10:00AM","175.5","6.75","12%","+0.1%","26","1","0","12","2","7","36","18","42","11","0","0","1","47","71","69","1","0","0","7"
"Shaqiri, Xherdan","LIV","M","150","FA","@CAR Sun 11:00AM","173","7.86","67%","+0.1%","22","6","2","18","2","10","14","17","14","2","0","0","11","6","6","3","0","0","0","7"
"Zanka","HUD","D","151","FA","WAT Sat 10:00AM","172.5","7.19","19%","-0.1%","24","3","1","8","0","4","49","6","14","6","0","0","1","69","82","36","0","38","3","0"
"Cork, Jack","BURN","M","152","FA","@CHE Mon 3:00PM","172.5","5.23","11%","+0.1%","33","1","2","17","0","2","49","31","36","5","0","0","3","24","70","48","0","0","0","8"
"Herrera, Ander","MUN","M","153","FA","@EVE Sun 8:30AM","171","8.55","28%","+0.1%","20","2","3","14","0","7","50","8","16","3","0","0","1","37","21","4","0","2","0","4"
"Gunnarsson, Aron","CAR","M","154","FA","CAR 2<br/>@BRIGHT 0 F","171","7.12","6%","-0.2%","24","1","1","15","0","4","44","4","25","4","0","0","2","35","48","42","0","0","0","5"
"Albrighton, Marc","LEIC","M","155","Mayomen","@WHU Sat 10:00AM","170","7.39","32%","0%","23","2","2","24","0","6","31","17","15","3","0","0","20","20","23","15","0","0","0","4"
"Ralls, Joe","CAR","M","156","FA","CAR 2<br/>@BRIGHT 0 F","170","6.3","19%","-0.1%","27","0","0","32","0","3","44","14","10","4","0","1","23","28","27","32","0","0","0","5"
"Armstrong, Stuart","SOU","M","157","FA","@NEW Sat 12:30PM","169.5","6.78","7%","0%","25","3","1","26","2","12","23","21","18","2","0","0","3","12","11","14","0","0","0","2"
"Kolasinac, Sead","ARS","D","158","Mayomen","CRY Sun 11:00AM","169.25","8.46","80%","+0.2%","20","0","5","29","2","1","29","15","9","5","0","0","11","17","23","18","1","10","2","3"
"Sanchez, Davinson","TOT","D","159","Farsi","@MCI Sat 7:30AM","168.5","8.43","73%","+0.1%","20","1","1","2","1","3","26","1","7","2","0","0","0","26","88","60","0","19","6","0"
"Pritchard, Alex","HUD","M","160","FA","WAT Sat 10:00AM","168","6.22","5%","+0.2%","27","1","0","26","0","12","29","47","46","2","0","0","15","15","5","11","0","0","0","2"
"Wijnaldum, Georginio","LIV","M","161","CTMS","@CAR Sun 11:00AM","167","5.39","45%","+0.1%","31","2","0","22","1","9","33","35","28","3","0","0","3","15","19","27","0","0","0","15"
"Murphy, Josh","CAR","M","162","FA","CAR 2<br/>@BRIGHT 0 F","167","6.42","8%","0%","26","3","1","12","0","14","22","35","51","1","0","0","9","10","7","11","0","0","0","5"
"Yedlin, DeAndre","NEW","D","163","FA","SOU Sat 12:30PM","166.25","5.73","17%","0%","29","1","2","28","0","2","54","9","13","6","0","1","18","28","71","30","1","36","5","0"
"Monreal, Nacho","ARS","D","164","Farsi","CRY Sun 11:00AM","166","8.74","76%","+0.1%","19","1","3","9","0","4","33","3","18","4","0","0","3","27","46","29","0","16","5","0"
"Chicharito","WHU","F","165","FA","LEIC Sat 10:00AM","166","6.64","32%","0%","25","7","1","5","3","18","3","10","34","2","0","0","0","1","8","12","0","0","0","0"
"Hadergjonaj, Florent","HUD","D","166","FA","WAT Sat 10:00AM","163.25","6.8","4%","0%","24","0","0","23","0","2","30","3","19","1","0","0","22","21","27","23","0","9","2","2"
"Bertrand, Ryan","SOU","D","167","FA","@NEW Sat 12:30PM","161.25","8.49","55%","+0.6%","19","1","0","19","0","2","40","7","21","8","0","0","19","24","39","33","0","18","4","2"
"Barkley, Ross","CHE","M","168","FA","BURN Mon 3:00PM","161","6.19","40%","-0.1%","26","3","5","21","0","7","15","31","26","1","0","0","1","9","12","19","0","0","0","6"
"Bednarek, Jan","SOU","D","169","FA","@NEW Sat 12:30PM","159.75","7.99","12%","+0.4%","20","0","1","7","0","1","37","5","5","6","0","0","0","52","137","62","0","26","3","0"
"Kouyate, Cheikhou","CRY","M","170","FA","@ARS Sun 11:00AM","159","5.68","11%","-0.1%","28","0","2","14","1","5","49","18","16","2","0","0","1","15","28","60","0","0","0","7"
"Cairney, Tom","FUL","M","171","FA","@BOUR Sat 10:00AM","158.5","5.66","28%","0%","28","1","1","36","0","5","31","43","34","0","0","0","5","8","9","8","0","0","0","1"
"Lingard, Jesse","MUN","M","172","Farsi","@EVE Sun 8:30AM","158","6.32","81%","0%","25","4","2","15","1","13","26","19","23","2","0","0","2","7","5","5","0","0","0","3"
"Otamendi, Nicolas","MCI","D","173","FA","TOT Sat 7:30AM","157.75","9.86","73%","-0.1%","16","0","0","2","0","3","24","0","3","1","0","0","0","29","55","41","0","7","9","0"
"Oriol Romeu","SOU","M","174","FA","@NEW Sat 12:30PM","157","6.04","9%","+0.1%","26","1","0","7","0","4","73","12","14","7","0","0","0","43","33","36","0","0","0","5"
"Davies, Ben","TOT","D","175","Farsi","@MCI Sat 7:30AM","156.75","7.12","69%","+0.1%","22","0","0","15","0","1","45","10","11","2","0","0","9","21","51","42","0","18","5","1"
"Evans, Jonny","LEIC","D","176","FA","@WHU Sat 10:00AM","155","7.75","20%","+0.1%","20","1","0","4","0","2","19","4","12","2","0","0","1","27","120","62","0","23","6","0"
"Balbuena, Fabian","WHU","D","177","FA","LEIC Sat 10:00AM","153.5","8.08","14%","+0.1%","19","1","0","3","0","2","37","2","4","2","0","0","0","46","138","59","0","29","3","0"
"Sakho, Mamadou","CRY","D","178","FA","@ARS Sun 11:00AM","153","5.67","18%","-0.2%","27","0","0","6","0","1","25","6","13","2","0","0","0","41","132","52","0","35","9","0"
"Stephens, Dale","BRIGHT","M","179","FA","CAR 2<br/>@BRIGHT 0 F","153","5.88","11%","+0.1%","26","1","1","16","0","1","71","12","10","5","0","1","1","34","37","24","0","0","0","4"
"Zabaleta, Pablo","WHU","D","180","FA","LEIC Sat 10:00AM","152.75","6.36","9%","0%","24","0","1","6","0","1","40","12","29","4","0","0","7","46","79","47","0","32","4","0"
"Alderweireld, Toby","TOT","D","181","CTMS","@MCI Sat 7:30AM","152","5.24","81%","0%","29","0","0","4","0","5","29","0","1","2","0","0","1","21","148","48","1","27","11","0"
"Targett, Matt","SOU","D","182","FA","@NEW Sat 12:30PM","149.75","10.7","7%","0%","14","0","3","23","0","2","25","6","7","2","0","0","23","25","31","17","0","10","0","0"
"Gray, Demarai","LEIC","M","183","FA","@WHU Sat 10:00AM","149.5","4.82","41%","0%","31","4","1","17","0","19","25","36","14","2","0","0","4","7","12","9","0","0","0","5"
"Noble, Mark","WHU","M","184","FA","LEIC Sat 10:00AM","148.5","5.5","9%","+0.3%","27","3","3","15","0","6","39","29","33","6","0","1","4","16","11","8","0","0","0","5"
"Lamela, Erik","TOT","M","185","JRs","@MCI Sat 7:30AM","147.5","8.19","38%","0%","18","4","2","20","0","11","16","19","16","2","0","0","8","7","0","4","0","0","0","4"
"Kongolo, Terence","HUD","D","186","FA","WAT Sat 10:00AM","147","5.25","4%","+0.1%","28","1","1","9","0","4","63","3","21","4","0","0","4","57","78","49","1","56","4","0"
"Sissoko, Moussa","TOT","M","187","FA","@MCI Sat 7:30AM","146","5.41","23%","+0.1%","27","0","3","23","0","3","35","27","17","1","0","0","4","15","21","23","0","0","0","10"
"Ogbonna, Angelo","WHU","D","188","FA","LEIC Sat 10:00AM","144.75","6.58","12%","0%","22","1","1","4","0","5","31","3","7","2","0","0","0","35","97","75","0","34","2","0"
"Lindelof, Victor","MUN","D","189","FA","@EVE Sun 8:30AM","143","5.5","38%","+0.1%","26","1","1","5","0","1","34","3","14","1","0","0","0","19","106","61","1","32","6","0"
"Bryan, Joe","FUL","D","190","FA","@BOUR Sat 10:00AM","142.25","5.93","3%","+0.1%","24","0","1","20","0","5","47","16","24","4","0","0","18","30","61","24","0","31","1","2"
"Bernardo","BRIGHT","D","191","FA","CAR 2<br/>@BRIGHT 0 F","139.75","8.22","17%","-0.1%","17","0","1","10","0","3","52","12","17","3","0","0","3","32","43","38","0","22","2","0"
"Montoya, Martin","BRIGHT","D","192","FA","CAR 2<br/>@BRIGHT 0 F","139.75","6.08","5%","0%","23","0","1","17","0","1","55","9","16","4","0","0","16","48","61","24","0","40","3","0"
"Guendouzi, Matteo","ARS","M","193","FA","CRY Sun 11:00AM","139.5","4.98","16%","+0.1%","28","0","0","15","0","4","42","28","51","6","0","0","1","30","22","13","0","0","0","3"
"Lowe, Chris","HUD","D","194","FA","WAT Sat 10:00AM","138","5.31","4%","+0.1%","26","0","1","18","2","6","33","12","12","2","0","0","31","22","48","25","0","29","0","1"
"Dummett, Paul","NEW","D","195","FA","SOU Sat 12:30PM","137.25","6.24","6%","+0.2%","22","0","0","3","0","1","28","0","8","0","0","0","7","30","93","41","0","22","6","0"
"Lemina, Mario","SOU","M","196","FA","@NEW Sat 12:30PM","136.5","7.58","13%","+0.1%","18","0","1","9","1","4","46","28","22","5","0","0","3","39","26","27","0","0","0","4"
"Smalling, Chris","MUN","D","197","FA","@EVE Sun 8:30AM","135.75","6.46","50%","-0.1%","21","1","0","2","0","2","25","1","7","1","0","0","0","21","93","86","1","28","4","0"
"Mendy, Benjamin","MCI","D","198","susej","TOT Sat 7:30AM","134.5","13.45","95%","+0.3%","10","0","5","12","1","3","16","11","2","1","0","0","11","10","16","8","0","5","4","0"
"Stones, John","MCI","D","199","FA","TOT Sat 7:30AM","134.5","6.4","72%","0%","21","0","0","5","0","1","15","3","7","1","0","0","1","12","56","54","0","12","8","0"
"Smith, Adam","BOUR","D","200","FA","FUL Sat 10:00AM","134.25","5.84","10%","+0.2%","23","1","0","7","0","1","39","9","41","5","0","1","2","27","51","26","0","25","6","1"
"Gosling, Dan","BOUR","M","201","FA","FUL Sat 10:00AM","133.5","5.8","2%","+0.3%","23","1","1","7","1","6","51","18","23","7","0","0","1","20","44","35","0","0","0","4"
"Francis, Simon","BOUR","D","202","FA","FUL Sat 10:00AM","133","7.82","12%","0%","17","0","2","10","0","1","25","7","8","1","0","0","11","18","66","47","0","24","4","0"
"Isaac Success","WAT","F","203","FA","@HUD Sat 10:00AM","130.5","5.02","3%","+0.1%","26","1","1","20","0","8","14","23","48","3","0","0","1","2","11","30","0","0","0","0"
"Loftus-Cheek, Ruben","CHE","M","204","FA","BURN Mon 3:00PM","129.5","6.47","62%","0%","20","5","2","12","0","7","11","20","17","0","0","0","0","6","3","15","0","0","0","3"
"Babel, Ryan","FUL","M","205","Martin","@BOUR Sat 10:00AM","127.5","10.62","49%","+0.4%","12","4","3","16","1","8","7","18","13","3","0","0","6","5","8","11","0","0","0","1"
"Henderson, Jordan","LIV","M","206","FA","@CAR Sun 11:00AM","127.5","4.55","41%","+0.8%","28","1","2","11","0","1","39","5","11","1","1","1","5","26","12","22","0","1","0","9"
"Vietto, Luciano","FUL","F","207","FA","@BOUR Sat 10:00AM","127.5","6.38","13%","0%","20","1","4","22","0","8","15","26","19","1","0","0","8","6","5","5","0","0","0","0"
"De Cordova-Reid, Bobby","CAR","M","208","FA","CAR 2<br/>@BRIGHT 0 F","127.5","5.31","6%","0%","24","4","2","12","1","7","16","28","23","0","0","0","2","2","10","11","0","0","0","1"
"Diame, Mohamed","NEW","M","209","FA","SOU Sat 12:30PM","126.5","4.69","6%","0%","27","0","0","2","0","3","75","37","19","3","0","0","1","26","34","34","0","0","0","6"
"Vertonghen, Jan","TOT","D","210","FA","@MCI Sat 7:30AM","126.25","6.31","85%","-0.1%","20","1","0","3","0","2","33","2","9","2","1","1","5","31","69","43","0","22","5","0"
"Kiko Femenia","WAT","D","211","FA","@HUD Sat 10:00AM","126.25","5.26","7%","+0.3%","24","1","1","11","0","2","42","8","12","1","0","0","9","28","57","12","0","26","4","0"
"Christie, Cyrus","FUL","D","212","FA","@BOUR Sat 10:00AM","125.25","5.22","1%","0%","24","0","0","16","0","3","38","28","10","6","0","0","16","23","69","51","0","19","0","2"
"Kovacic, Mateo","CHE","M","213","Mayomen","BURN Mon 3:00PM","125","4.46","33%","0%","28","0","2","23","0","4","34","37","29","1","0","0","0","8","16","7","0","0","0","6"
"Sanchez, Alexis","MUN","F","214","SLAM","@EVE Sun 8:30AM","124","7.29","72%","+0.4%","17","1","3","20","2","9","15","24","17","3","0","0","5","8","1","6","0","0","0","0"
"Sokratis","ARS","D","215","FA","CRY Sun 11:00AM","124","5.64","34%","+0.3%","22","0","2","5","0","1","37","5","19","10","0","0","0","24","102","45","0","26","5","0"
"Valery, Yan","SOU","D","216","FA","@NEW Sat 12:30PM","123.75","6.51","19%","+0.5%","19","2","0","5","0","4","33","24","4","3","1","1","5","19","55","32","0","1","2","1"
"Long, Shane","SOU","F","217","FA","@NEW Sat 12:30PM","121.5","5.79","3%","+0.1%","21","3","1","10","1","7","12","16","20","2","0","0","1","5","17","49","0","0","0","0"
