"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A","KP","AF","SOT","Tk","DIS","FS","YC","SYC","RC","AC","Int","CLR","AER","OG","GAD","CSD","CSM"
"Bong, Gaetan","BRIGHT","D","319","FA","CAR 2<br/>@BRIGHT 0 F","52","2.48","1%","+0.1%","21","0","0","9","0","0","15","17","4","0","0","0","9","25","42","23","0","34","4","0"
"Peltier, Lee","CAR","D","320","FA","CAR 2<br/>@BRIGHT 0 F","51.75","3.23","1%","-0.1%","16","0","0","0","0","1","26","3","5","4","0","0","3","13","37","23","0","20","4","0"
"Niasse, Oumar","CAR","F","321","FA","CAR 2<br/>@BRIGHT 0 F","50.5","3.16","5%","+0.3%","16","0","0","5","0","6","10","41","18","0","0","0","0","2","3","38","0","0","0","0"
"Izquierdo, Jose","BRIGHT","F","322","FA","CAR 2<br/>@BRIGHT 0 F","48","3.69","6%","+0.1%","13","0","1","6","1","3","13","10","5","1","0","0","1","4","4","2","0","0","0","2"
"Hudson-Odoi, Callum","CHE","F","323","susej","BURN Mon 3:00PM","47.5","5.28","43%","+0.3%","9","0","1","8","0","3","8","5","6","0","0","0","5","2","0","2","0","0","0","0"
"Batshuayi, Michy","CRY","F","324","DerianT","@ARS Sun 11:00AM","46","5.11","52%","+0.1%","9","2","0","2","1","6","1","10","2","0","0","0","0","3","0","10","0","0","0","0"
"Carroll, Andy","WHU","F","325","FA","LEIC Sat 10:00AM","46","3.83","2%","-0.1%","12","0","0","4","0","6","4","8","8","2","0","0","0","1","8","46","0","0","0","0"
"Coady, Conor","WOLVES","D","326","FA","BRIGHT Sat 10:00AM","45.75","1.39","10%","+0.4%","33","0","0","2","0","0","28","4","10","5","0","0","0","28","111","34","3","42","7","0"
"Jagielka, Phil","EVE","D","327","FA","MUN Sun 8:30AM","45.75","9.15","5%","-0.1%","5","1","0","2","0","1","7","0","3","0","0","1","0","2","11","14","0","2","2","0"
"Kompany, Vincent","MCI","D","328","FA","TOT Sat 7:30AM","45.5","3.5","28%","0%","13","0","0","1","0","0","12","0","0","4","0","0","0","8","42","25","0","6","2","0"
"Yarmolenko, Andriy","WHU","F","329","FA","LEIC Sat 10:00AM","44","4.89","26%","-0.1%","9","2","0","5","1","3","4","11","8","2","0","0","0","2","3","3","0","0","0","0"
"Muto, Yoshinori","NEW","F","330","FA","SOU Sat 12:30PM","44","3.14","2%","0%","14","1","0","4","0","3","7","12","10","0","0","0","0","5","3","10","0","0","0","0"
"Origi, Divock","LIV","F","331","FA","@CAR Sun 11:00AM","43.5","4.35","3%","+0.2%","10","2","1","3","0","4","4","8","4","0","0","0","0","0","1","3","0","0","0","0"
"Kelly, Martin","CRY","D","332","FA","@ARS Sun 11:00AM","43.5","4.83","1%","0%","9","0","0","1","0","0","17","1","1","2","0","0","1","10","52","22","0","14","2","0"
"Perez, Lucas","WHU","F","333","FA","LEIC Sat 10:00AM","42.5","3.54","3%","0%","12","2","0","6","0","2","5","7","3","0","0","0","1","2","3","2","0","0","0","0"
"Mepham, Chris","BOUR","D","334","FA","FUL Sat 10:00AM","41.5","4.15","3%","+0.3%","10","0","0","0","0","0","6","2","3","1","0","0","0","12","54","27","0","14","2","0"
"Holding, Rob","ARS","D","335","FA","CRY Sun 11:00AM","41.25","4.12","2%","0%","10","0","0","2","0","0","11","2","2","1","0","0","0","12","37","21","0","10","1","0"
"Solanke, Dominic","BOUR","F","336","FA","FUL Sat 10:00AM","41","5.12","7%","-0.1%","8","0","1","6","0","3","6","8","6","0","0","0","0","2","8","14","0","0","0","0"
"Antonio Valencia","MUN","D","337","FA","@EVE Sun 8:30AM","40","8","36%","-0.1%","5","0","0","6","0","0","8","1","4","2","0","0","5","5","6","3","0","2","2","0"
"Ibe, Jordon","BOUR","M","338","FA","FUL Sat 10:00AM","40","2.35","5%","0%","17","0","1","9","0","0","5","14","8","1","0","0","9","3","3","2","0","0","0","0"
"Mawson, Alfie","FUL","D","339","FA","@BOUR Sat 10:00AM","39.5","3.04","3%","0%","13","0","0","2","0","1","11","0","5","2","0","0","0","17","62","29","0","22","1","0"
"Mbenza, Isaac","HUD","M","340","FA","WAT Sat 10:00AM","38.5","2.14","1%","0%","18","0","1","5","0","3","8","8","5","1","0","0","5","5","2","1","0","0","0","0"
"Ward, Danny","CAR","F","341","FA","CAR 2<br/>@BRIGHT 0 F","38","3.45","1%","0%","11","1","0","5","0","3","0","2","3","0","0","0","0","0","8","22","0","0","0","0"
"Lanzini, Manuel","WHU","M","342","FA","LEIC Sat 10:00AM","37.5","4.69","43%","0%","8","0","1","4","1","2","8","9","5","1","0","0","1","5","5","2","0","0","0","1"
"Welbeck, Danny","ARS","F","343","FA","CRY Sun 11:00AM","37","4.62","4%","+0.1%","8","1","1","5","0","2","3","3","2","0","0","0","0","1","1","7","0","0","0","0"
"Cleverley, Tom","WAT","M","344","FA","@HUD Sat 10:00AM","37","3.08","1%","0%","12","1","0","1","0","2","16","4","4","2","0","0","1","5","11","4","0","0","0","2"
"Balogun, Leon","BRIGHT","D","345","FA","CAR 2<br/>@BRIGHT 0 F","37","4.62","1%","0%","8","1","0","0","0","1","12","2","2","2","0","0","0","17","32","13","0","10","0","0"
"Clyne, Nathaniel","BOUR","D","346","FA","FUL Sat 10:00AM","36.25","2.42","14%","0%","15","0","0","1","0","1","32","10","5","2","0","0","4","16","21","5","0","18","2","0"
"Darmian, Matteo","MUN","D","347","FA","@EVE Sun 8:30AM","35","7","2%","0%","5","0","0","2","0","1","13","2","4","0","0","0","1","7","16","3","0","4","1","0"
"Choudhury, Hamza","LEIC","M","348","FA","@WHU Sat 10:00AM","35","5.83","1%","0%","6","0","0","2","0","1","13","0","1","0","0","0","0","11","6","4","0","0","0","2"
"Andreas Pereira","MUN","M","349","FA","@EVE Sun 8:30AM","34.5","2.88","6%","+0.1%","12","1","1","3","0","1","6","6","4","3","0","0","3","8","5","3","0","0","0","1"
"Gibbs-White, Morgan","WOLVES","M","350","FA","BRIGHT Sat 10:00AM","34","1.55","1%","0%","22","0","1","7","0","1","4","13","6","1","0","0","4","1","0","11","0","0","0","1"
"Emerson","CHE","D","351","FA","BURN Mon 3:00PM","33.5","3.72","19%","+0.1%","9","0","0","3","0","1","14","9","6","0","0","0","2","8","8","4","0","9","2","0"
"Quina, Domingos","WAT","M","352","FA","@HUD Sat 10:00AM","32.5","4.06","0%","0%","8","1","0","2","0","1","9","5","6","0","0","0","1","3","1","2","0","0","0","0"
"Fredericks, Ryan","WHU","D","353","FA","LEIC Sat 10:00AM","32","2.67","8%","+0.1%","12","0","0","3","0","1","27","2","5","4","0","0","5","8","32","10","0","16","1","0"
"Cunningham, Greg","CAR","D","354","FA","CAR 2<br/>@BRIGHT 0 F","31.75","4.54","1%","0%","7","0","0","5","0","1","18","1","13","3","0","0","2","17","13","4","0","17","1","0"
"Foden, Phil","MCI","M","355","FA","TOT Sat 7:30AM","30.5","2.77","9%","0%","11","0","0","7","0","3","3","3","4","0","0","0","1","2","0","2","0","0","0","1"
"Wanyama, Victor","TOT","M","356","FA","@MCI Sat 7:30AM","30.5","3.81","4%","+0.6%","8","1","0","0","0","2","7","3","3","0","0","0","1","3","4","6","0","0","0","2"
"Diakhaby, Adama","HUD","F","357","FA","WAT Sat 10:00AM","30.5","2.77","1%","0%","11","0","0","5","1","3","6","20","9","1","0","0","2","1","1","5","0","0","0","1"
"Ward, Joel","CRY","D","358","FA","@ARS Sun 11:00AM","30.5","7.62","1%","-0.1%","4","1","0","1","0","1","9","3","3","0","0","0","0","5","20","10","0","7","0","0"
"Amartey, Daniel","LEIC","M","359","FA","@WHU Sat 10:00AM","30","3.33","1%","0%","9","0","0","3","0","1","18","4","1","2","0","0","0","16","25","14","0","9","1","0"
"Wilshere, Jack","WHU","M","360","BOOM","LEIC Sat 10:00AM","29.5","5.9","21%","+0.1%","5","0","1","3","0","1","7","7","10","2","0","0","0","7","0","2","0","0","0","0"
